,,Overall (%),,,,,Per-class (%),,,,
Technique,Metric,Mean,Max,Min,MaxDiff,STDEV,Mean,Max,Min,MaxDiff,STDEV
,FPSF,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,0.2,<0.1,<0.1,<0.1
,EOFP,0.2,0.2,0.2,<0.1,<0.1,0.3,0.3,0.2,0.2,<0.1
,EOTP,14.7,15.0,14.4,0.5,0.2,13.7,27.8,2.8,25.0,12.4
,BA,10.7,10.8,10.6,0.2,<0.1,36.5,43.7,31.9,11.8,3.7
I-R3,DP,0.4,0.4,0.4,<0.1,<0.1,0.7,0.8,0.5,0.3,0.1
,DI bar,53.0,53.6,52.4,1.2,0.4,29.5,50.0,5.3,44.7,13.4
,SPSF,0.2,0.2,0.2,<0.1,<0.1,0.3,0.4,0.2,0.2,<0.1
,FPSF,0.1,0.1,0.1,<0.1,<0.1,<0.1,0.1,<0.1,0.1,<0.1
,EOFP,0.2,0.2,0.2,<0.1,<0.1,0.1,0.3,<0.1,0.3,<0.1
,EOTP,15.9,16.2,15.5,0.6,0.2,27.8,50.0,0.0,50.0,24.6
,BA,10.5,10.8,10.4,0.4,0.1,33.9,44.9,24.8,20.1,8.8
I-A4,DP,0.4,0.4,0.4,<0.1,<0.1,0.4,0.5,0.4,0.1,<0.1
,DI bar,52.4,52.8,51.9,0.8,0.2,16.7,40.0,0.0,40.0,14.5
,SPSF,0.2,0.2,0.2,<0.1,<0.1,0.2,0.2,0.2,<0.1,<0.1
,FPSF,0.1,0.1,0.1,<0.1,<0.1,0.2,0.2,0.2,<0.1,<0.1
,EOFP,0.2,0.2,0.2,<0.1,<0.1,<0.1,0.2,0.0,0.2,<0.1
,EOTP,15.0,15.2,14.8,0.4,0.1,41.4,47.4,0.0,47.4,15.7
,BA,10.8,10.8,10.6,0.2,<0.1,10.2,16.9,4.3,12.6,3.6
I-A5,DP,0.3,0.3,0.3,<0.1,<0.1,0.3,0.4,0.2,0.2,<0.1
,DI bar,47.0,47.4,46.4,1.0,0.3,15.6,50.0,0.0,50.0,23.2
,SPSF,0.2,0.2,0.2,<0.1,<0.1,0.2,0.2,<0.1,0.1,<0.1
,FPSF,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,0.1,<0.1,0.1,<0.1
,EOFP,0.2,0.2,0.2,<0.1,<0.1,0.2,0.3,<0.1,0.2,<0.1
,EOTP,15.3,15.6,15.0,0.5,0.1,36.3,40.0,3.8,36.2,8.5
,BA,12.4,12.6,12.2,0.4,0.1,12.8,24.2,7.6,16.7,7.7
A-Base,DP,42.9,43.9,41.8,2.1,0.6,42.9,43.9,41.8,2.1,0.6
,DI bar,60.2,61.1,59.4,1.7,0.5,57.2,59.9,54.2,5.8,1.8
,SPSF,20.3,20.8,19.8,1.0,0.3,20.3,20.8,19.8,1.0,0.3
,FPSF,4.7,5.0,4.5,0.4,0.1,5.9,6.5,5.4,1.1,0.3
,EOFP,23.5,24.7,22.6,2.1,0.6,22.8,26.1,21.3,4.8,1.3
,EOTP,23.5,24.7,22.6,2.1,0.6,22.8,26.1,21.3,4.8,1.3
,BA,1.2,1.8,0.7,1.1,0.3,1.9,3.5,0.2,3.2,1.0
A-L2,DP,35.2,39.9,27.3,12.6,2.9,35.2,39.9,27.3,12.6,2.9
,DI bar,54.0,57.4,49.4,8.0,2.4,61.6,77.9,46.8,31.1,8.8
,SPSF,16.7,18.9,12.9,6.0,1.4,16.7,18.9,12.9,6.0,1.4
,FPSF,3.4,4.1,2.5,1.6,0.5,5.7,7.1,3.6,3.5,1.2
,EOFP,15.4,18.8,11.7,7.2,2.1,23.2,29.0,14.7,14.3,4.8
,EOTP,15.4,18.8,11.7,7.2,2.1,23.2,29.0,14.7,14.3,4.8
,BA,5.9,13.9,2.2,11.6,3.1,6.1,16.4,0.5,15.9,4.2
A-ALM,DP,42.2,44.0,39.4,4.6,1.5,42.2,44.0,39.4,4.6,1.5
,DI bar,59.9,61.7,57.2,4.5,1.2,54.4,57.9,48.6,9.3,3.0
,SPSF,20.0,20.9,18.7,2.2,0.7,20.0,20.9,18.7,2.2,0.7
